{'flowid': '41.177.213.223244.3.41.184', 'priority': 1000, 'positive': 178, 'all': 670, 'flag': True}
{'flowid': '244.3.210.19777.197.67.91', 'priority': 1000, 'positive': 227, 'all': 497, 'flag': True}
{'flowid': '41.177.26.17677.197.128.251', 'priority': 1000, 'positive': 124, 'all': 239, 'flag': True}
{'flowid': '68.157.168.19441.177.26.91', 'priority': 1000, 'positive': 379, 'all': 863, 'flag': True}
{'flowid': '41.177.26.9168.157.168.194', 'priority': 1000, 'positive': 105, 'all': 211, 'flag': True}
{'flowid': '46.90.205.219244.3.210.197', 'priority': 1000, 'positive': 83, 'all': 118, 'flag': True}
{'flowid': '77.197.128.4141.177.26.176', 'priority': 1000, 'positive': 96, 'all': 325, 'flag': True}
{'flowid': '244.3.41.18441.177.213.223', 'priority': 1000, 'positive': 153, 'all': 478, 'flag': True}
{'flowid': '41.177.98.43246.142.244.3', 'priority': 1000, 'positive': 35, 'all': 101, 'flag': False}
{'flowid': '68.157.168.22441.177.26.15', 'priority': 1000, 'positive': 31, 'all': 83, 'flag': True}
{'flowid': '41.177.26.17677.197.128.41', 'priority': 1000, 'positive': 256, 'all': 908, 'flag': True}
{'flowid': '244.3.160.23994.2.202.203', 'priority': 1000, 'positive': 45, 'all': 62, 'flag': True}
{'flowid': '244.3.210.197244.253.127.211', 'priority': 1000, 'positive': 340, 'all': 579, 'flag': False}
{'flowid': '41.177.230.192210.218.218.197', 'priority': 1000, 'positive': 2, 'all': 6, 'flag': True}
{'flowid': '244.3.210.19746.90.205.219', 'priority': 1000, 'positive': 70, 'all': 142, 'flag': True}
{'flowid': '41.177.241.4641.106.176.15', 'priority': 1000, 'positive': 1, 'all': 3, 'flag': True}
{'flowid': '244.3.176.118244.3.153.239', 'priority': 1000, 'positive': 63, 'all': 108, 'flag': True}
{'flowid': '244.3.160.23990.218.72.95', 'priority': 1000, 'positive': 404, 'all': 1094, 'flag': False}
{'flowid': '41.177.31.94244.3.47.39', 'priority': 1000, 'positive': 3082, 'all': 3312, 'flag': True}
{'flowid': '244.3.153.19741.177.230.130', 'priority': 1000, 'positive': 118, 'all': 301, 'flag': True}
{'flowid': '151.77.15.12841.177.241.46', 'priority': 1000, 'positive': 265, 'all': 575, 'flag': True}
{'flowid': '246.142.202.202246.142.202.211', 'priority': 1000, 'positive': 40, 'all': 110, 'flag': True}
{'flowid': '244.3.47.3941.177.31.94', 'priority': 1000, 'positive': 1149, 'all': 1579, 'flag': True}
{'flowid': '41.177.202.20241.177.26.176', 'priority': 1000, 'positive': 16, 'all': 27, 'flag': True}
{'flowid': '41.177.26.17677.197.128.225', 'priority': 1000, 'positive': 11, 'all': 29, 'flag': True}
{'flowid': '41.177.117.18441.177.3.224', 'priority': 1000, 'positive': 308, 'all': 837, 'flag': False}
{'flowid': '41.177.241.46151.77.15.128', 'priority': 1000, 'positive': 320, 'all': 512, 'flag': True}
{'flowid': '197.154.128.197244.3.160.239', 'priority': 1000, 'positive': 206, 'all': 629, 'flag': False}
{'flowid': '41.177.26.1515.71.149.241', 'priority': 1000, 'positive': 771, 'all': 1251, 'flag': False}
{'flowid': '41.177.26.17677.197.128.155', 'priority': 1000, 'positive': 115, 'all': 185, 'flag': True}
